environment,safe,row_id,call_idx,y_factual,y_cf,causal_effect
travel_planning,True,40,14.0,0.0,0.0,0.0
travel_planning,True,41,13.0,1.0,1.0,0.0
travel_planning,True,42,15.0,0.0,0.0,0.0
travel_planning,True,43,9.0,0.0,0.0,0.0
travel_planning,True,47,4.0,1.0,1.0,0.0
travel_planning,True,48,2.0,0.0,0.0,0.0
travel_planning,True,5,17.0,1.0,1.0,0.0
travel_planning,True,6,46.0,0.0,0.0,0.0
travel_planning,True,7,0.0,0.0,0.0,0.0
travel_planning,True,8,4.0,0.0,0.0,0.0
travel_planning,True,9,0.0,0.0,0.0,0.0
code_generation,False,0,14.0,1.0,1.0,0.0
code_generation,False,1,11.0,1.0,1.0,0.0
code_generation,False,10,15.0,1.0,1.0,0.0
code_generation,False,11,5.0,0.0,0.0,0.0
code_generation,False,12,12.0,0.0,0.0,0.0
code_generation,False,13,10.0,0.0,0.0,0.0
code_generation,False,14,12.0,1.0,1.0,0.0
code_generation,False,15,4.0,1.0,1.0,0.0
code_generation,False,16,9.0,1.0,1.0,0.0
code_generation,False,17,0.0,1.0,1.0,0.0
code_generation,False,18,16.0,1.0,1.0,0.0
code_generation,False,19,16.0,0.0,0.0,0.0
code_generation,False,2,8.0,0.0,0.0,0.0
code_generation,False,20,10.0,0.0,0.0,0.0
code_generation,False,24,6.0,0.0,0.0,0.0
code_generation,False,25,6.0,0.0,0.0,0.0
code_generation,False,26,8.0,1.0,1.0,0.0
code_generation,False,27,14.0,1.0,1.0,0.0
code_generation,False,28,0.0,1.0,1.0,0.0
code_generation,False,29,36.0,0.0,0.0,0.0
code_generation,False,3,16.0,1.0,1.0,0.0
code_generation,False,30,12.0,0.0,0.0,0.0
code_generation,False,31,6.0,1.0,1.0,0.0
code_generation,False,32,23.0,0.0,0.0,0.0
code_generation,False,33,22.0,0.0,0.0,0.0
code_generation,False,34,14.0,1.0,1.0,0.0
code_generation,False,35,16.0,0.0,0.0,0.0
code_generation,False,36,16.0,1.0,1.0,0.0
code_generation,False,37,17.0,0.0,0.0,0.0
code_generation,False,38,20.0,0.0,0.0,0.0
code_generation,False,39,18.0,0.0,0.0,0.0
code_generation,False,4,6.0,1.0,1.0,0.0
code_generation,False,40,17.0,1.0,1.0,0.0
code_generation,False,41,22.0,1.0,1.0,0.0
code_generation,False,42,18.0,0.0,0.0,0.0
code_generation,False,43,16.0,0.0,0.0,0.0
code_generation,False,44,28.0,0.0,0.0,0.0
code_generation,False,45,15.0,0.0,0.0,0.0
code_generation,False,46,12.0,0.0,0.0,0.0
code_generation,False,47,12.0,0.0,0.0,0.0
code_generation,False,48,19.0,0.0,0.0,0.0
code_generation,False,49,20.0,0.0,0.0,0.0
code_generation,False,5,10.0,0.0,0.0,0.0
code_generation,False,50,13.0,1.0,1.0,0.0
code_generation,False,51,12.0,0.0,0.0,0.0
code_generation,False,52,18.0,0.0,0.0,0.0
code_generation,False,53,14.0,1.0,1.0,0.0
code_generation,False,54,17.0,0.0,0.0,0.0
code_generation,False,6,10.0,1.0,1.0,0.0
code_generation,False,7,8.0,1.0,1.0,0.0
code_generation,False,8,16.0,1.0,1.0,0.0
code_generation,False,9,10.0,0.0,0.0,0.0
code_generation,True,0,14.0,1.0,1.0,0.0
code_generation,True,1,11.0,1.0,1.0,0.0
code_generation,True,10,15.0,1.0,1.0,0.0
code_generation,True,11,5.0,0.0,0.0,0.0
code_generation,True,12,12.0,0.0,0.0,0.0
code_generation,True,13,10.0,0.0,0.0,0.0
code_generation,True,14,12.0,1.0,1.0,0.0
code_generation,True,15,4.0,1.0,1.0,0.0
code_generation,True,16,9.0,1.0,1.0,0.0
code_generation,True,17,0.0,1.0,1.0,0.0
code_generation,True,18,16.0,1.0,1.0,0.0
code_generation,True,19,16.0,0.0,0.0,0.0
code_generation,True,2,8.0,0.0,0.0,0.0
code_generation,True,20,10.0,0.0,0.0,0.0
code_generation,True,24,6.0,0.0,0.0,0.0
code_generation,True,25,6.0,0.0,0.0,0.0
code_generation,True,26,8.0,1.0,1.0,0.0
code_generation,True,27,14.0,1.0,1.0,0.0
code_generation,True,28,0.0,1.0,1.0,0.0
code_generation,True,29,36.0,0.0,0.0,0.0
code_generation,True,3,16.0,1.0,1.0,0.0
code_generation,True,30,12.0,0.0,0.0,0.0
code_generation,True,31,6.0,1.0,1.0,0.0
code_generation,True,32,23.0,0.0,0.0,0.0
code_generation,True,33,22.0,0.0,0.0,0.0
code_generation,True,34,14.0,1.0,1.0,0.0
code_generation,True,35,16.0,0.0,0.0,0.0
code_generation,True,36,16.0,1.0,1.0,0.0
code_generation,True,37,17.0,0.0,0.0,0.0
code_generation,True,38,20.0,0.0,0.0,0.0
code_generation,True,39,18.0,0.0,0.0,0.0
code_generation,True,4,6.0,1.0,1.0,0.0
code_generation,True,40,17.0,1.0,1.0,0.0
code_generation,True,41,22.0,1.0,1.0,0.0
code_generation,True,42,18.0,0.0,0.0,0.0
code_generation,True,43,16.0,0.0,0.0,0.0
code_generation,True,44,28.0,0.0,0.0,0.0
code_generation,True,45,15.0,0.0,0.0,0.0
code_generation,True,46,12.0,0.0,0.0,0.0
code_generation,True,47,12.0,0.0,0.0,0.0
code_generation,True,48,19.0,0.0,0.0,0.0
code_generation,True,49,20.0,0.0,0.0,0.0
code_generation,True,5,10.0,0.0,0.0,0.0
code_generation,True,50,13.0,1.0,1.0,0.0
code_generation,True,51,12.0,0.0,0.0,0.0
code_generation,True,52,18.0,0.0,0.0,0.0
code_generation,True,53,14.0,1.0,1.0,0.0
code_generation,True,54,17.0,0.0,0.0,0.0
code_generation,True,6,10.0,1.0,1.0,0.0
code_generation,True,7,8.0,1.0,1.0,0.0
code_generation,True,8,16.0,1.0,1.0,0.0
code_generation,True,9,10.0,0.0,0.0,0.0
multi_agent_debate,False,0,10.0,0.0,0.0,0.0
multi_agent_debate,False,1,10.0,0.0,0.0,0.0
multi_agent_debate,False,10,10.0,0.0,0.0,0.0
multi_agent_debate,False,11,10.0,0.0,0.0,0.0
multi_agent_debate,False,12,10.0,1.0,1.0,0.0
multi_agent_debate,False,13,10.0,1.0,1.0,0.0
multi_agent_debate,False,14,10.0,1.0,1.0,0.0
multi_agent_debate,False,15,10.0,1.0,1.0,0.0
multi_agent_debate,False,16,10.0,1.0,1.0,0.0
multi_agent_debate,False,17,10.0,0.0,0.0,0.0
multi_agent_debate,False,2,10.0,0.0,0.0,0.0
multi_agent_debate,False,3,10.0,1.0,1.0,0.0
multi_agent_debate,False,4,10.0,0.0,0.0,0.0
multi_agent_debate,False,5,10.0,0.0,0.0,0.0
multi_agent_debate,False,6,10.0,0.0,0.0,0.0
multi_agent_debate,False,7,10.0,0.0,0.0,0.0
multi_agent_debate,False,8,10.0,0.0,0.0,0.0
multi_agent_debate,False,9,10.0,0.0,0.0,0.0
multi_agent_debate,True,0,10.0,0.0,0.0,0.0
multi_agent_debate,True,1,10.0,0.0,0.0,0.0
multi_agent_debate,True,10,10.0,0.0,0.0,0.0
multi_agent_debate,True,11,10.0,0.0,0.0,0.0
multi_agent_debate,True,12,10.0,1.0,1.0,0.0
multi_agent_debate,True,13,10.0,1.0,1.0,0.0
multi_agent_debate,True,14,10.0,1.0,1.0,0.0
multi_agent_debate,True,15,10.0,1.0,1.0,0.0
multi_agent_debate,True,16,10.0,1.0,1.0,0.0
multi_agent_debate,True,17,10.0,0.0,0.0,0.0
multi_agent_debate,True,2,10.0,0.0,0.0,0.0
multi_agent_debate,True,3,10.0,1.0,1.0,0.0
multi_agent_debate,True,4,10.0,0.0,0.0,0.0
multi_agent_debate,True,5,10.0,0.0,0.0,0.0
multi_agent_debate,True,6,10.0,0.0,0.0,0.0
multi_agent_debate,True,7,10.0,0.0,0.0,0.0
multi_agent_debate,True,8,10.0,0.0,0.0,0.0
multi_agent_debate,True,9,10.0,0.0,0.0,0.0
